UniProtKB:A0A075B6P5,20-120
UniProtKB:O15269,1-473
UniProtKB:O15270,1-562,XXX-379,MOD:00128
UniProtKB:O15273,1-167
UniProtKB:O15287,1-622
UniProtKB:O15294,2-1046
UniProtKB:O15296,1-676
UniProtKB:O15297,1-605
UniProtKB:O15303,25-877
UniProtKB:O15305,1-246
UniProtKB:O15315,1-384
UniProtKB:O15318,1-223
UniProtKB:O15320,1-804
UniProtKB:O15327,1-924
UniProtKB:O15342,2-81
UniProtKB:O15344,1-667
UniProtKB:O15350,1-636
UniProtKB:O15350,1-636,Lys-null,MOD:01148
UniProtKB:O15354,27-613
UniProtKB:O15357,1-1258
UniProtKB:O15360,1-1455
UniProtKB:O15371,1-548
UniProtKB:O15372,1-352
UniProtKB:O15379,1-428
UniProtKB:O15382,28-392,XXX-229,MOD:00128
UniProtKB:O15389,17-551
UniProtKB:O15392,1-142,Lys-null,MOD:01148
UniProtKB:O15392,1-142
UniProtKB:O15397,1-1037
UniProtKB:O15399,28-1336
UniProtKB:O15427,2-465
UniProtKB:O15431,1-190
UniProtKB:O15438,1-1527
UniProtKB:O15439,1-1325
UniProtKB:O15440,1-1437
UniProtKB:O15444,24-150
UniProtKB:O15446,1-510
UniProtKB:O15455,24-904
UniProtKB:O15457,1-936
UniProtKB:O15460,22-535
UniProtKB:O15466,1-376
UniProtKB:O15467,24-120
UniProtKB:O15484,1-640
UniProtKB:O15488,1-501,XXX-196,MOD:00166
UniProtKB:O15488,1-501,XXX-228,MOD:00166
UniProtKB:O15488,1-501
UniProtKB:O15492,1-202
UniProtKB:O15496,43-165
UniProtKB:O15498,1-196,XXX-194,MOD:00115
UniProtKB:O15503,1-277
UniProtKB:O15504,1-423
UniProtKB:O15511,2-151
UniProtKB:O15514,1-142
UniProtKB:O15516,1-846
UniProtKB:O15516,1-846,Ser-null,MOD:00046
UniProtKB:O15519,1-376
UniProtKB:O15519-1,1-376
UniProtKB:O15519-1,1-480
UniProtKB:O15519-1,377-480
UniProtKB:O15519-2,1-221
UniProtKB:O15520,38-208
UniProtKB:O15524,1-211
UniProtKB:O15525,1-162
UniProtKB:O15527,1-345
UniProtKB:O15528,?-508
UniProtKB:O15530,1-556
UniProtKB:O15533,21-448
UniProtKB:O15534,1-1290,Ser-null,MOD:00046
UniProtKB:O15534,1-1290
UniProtKB:O15534,1-1290,Ser-null,MOD:00046|Lys-null,MOD:01148
UniProtKB:O15539,1-181
UniProtKB:O15540,2-132
UniProtKB:O15547,1-441
UniProtKB:O15550,1-1401
UniProtKB:O15551,1-220
UniProtKB:O15552,1-330
UniProtKB:O15553,1-781
UniProtKB:O15554,1-427
UniProtKB:O43143,1-795
UniProtKB:O43148,1-476
UniProtKB:O43151,1-1660
UniProtKB:O43155,1-660
UniProtKB:O43157,20-2135,Tyr-null,MOD:00048
UniProtKB:O43157,20-2135
UniProtKB:O43159,1-456
UniProtKB:O43164,2-708
UniProtKB:O43166,1-1804
UniProtKB:O43169,12-146
UniProtKB:O43172,1-522
UniProtKB:O43173,1-380
UniProtKB:O43174,1-497
UniProtKB:O43175,2-533
UniProtKB:O43181,43-175
UniProtKB:O43182,1-974
UniProtKB:O43184,208-909
UniProtKB:O43187,1-625,XXX-null,MOD:00696
UniProtKB:O43187,1-625
UniProtKB:O43189,1-567
UniProtKB:O43193,1-412
UniProtKB:O43194,1-453
UniProtKB:O43196,1-834
UniProtKB:O43237,1-492
UniProtKB:O43242,1-534
UniProtKB:O43251,1-390
UniProtKB:O43252,1-223,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:O43252,1-223,Ser-445/Ser-729,MOD:00046
UniProtKB:O43252,1-624
UniProtKB:O43255,1-324
UniProtKB:O43264,2-779
UniProtKB:O43272,1-?
UniProtKB:O43278,36-529
UniProtKB:O43280,24-556,XXX-556,MOD:00171
UniProtKB:O43286,1-388
UniProtKB:O43290,1-800
UniProtKB:O43291,28-252
UniProtKB:O43292,2-621
UniProtKB:O43293,1-454
UniProtKB:O43295,1-1099
UniProtKB:O43296,1-627
UniProtKB:O43300,34-516
UniProtKB:O43301,2-675
UniProtKB:O43303,1-1012
UniProtKB:O43303,1-1012,Lys-null,MOD:01148
UniProtKB:O43306,1-1168
UniProtKB:O43307,1-516
UniProtKB:O43314,1-1243
UniProtKB:O43315,1-295
UniProtKB:O43316,1-350
UniProtKB:O43318,1-606
UniProtKB:O43318,1-606,Thr-184/Thr-187,MOD:00047
UniProtKB:O43318,1-606,Lys-34/Lys-158,MOD:01148
UniProtKB:O43318,1-606,Ser-192,MOD:00046|Thr-178/Thr-184/Thr-187,MOD:00047|Lys-34/Lys-158,MOD:01148
UniProtKB:O43318,1-606,XXX-null,MOD:00696
UniProtKB:O43318,1-606,Thr-187,MOD:00047
UniProtKB:O43318,1-606,Lys-null,MOD:01148
UniProtKB:O43320,1-207
UniProtKB:O43323,23-198,XXX-23,MOD:00069|XXX-198,MOD:00314
UniProtKB:O43323,23-198,XXX-198,MOD:00314
UniProtKB:O43323,23-396,Cys-199,MOD:00798
UniProtKB:O43323,23-396,XXX-null,MOD:00160|Cys-199,MOD:00798
UniProtKB:O43323,33-?
UniProtKB:O43323,199-396,XXX-null,MOD:00160|Lys-null,MOD:01148
UniProtKB:O43323,199-396,XXX-null,MOD:00160
UniProtKB:O43324,2-174
UniProtKB:O43345,1-1167
UniProtKB:O43347,1-362
UniProtKB:O43353,1-540,Lys-209,MOD:01148
UniProtKB:O43353,1-540
UniProtKB:O43361,1-778
UniProtKB:O43364,1-376
UniProtKB:O43365,1-443
UniProtKB:O43374,1-803
UniProtKB:O43390,2-633
UniProtKB:O43395,1-683
UniProtKB:O43426,1-1573
UniProtKB:O43432,1-1585
UniProtKB:O43447,2-177
UniProtKB:O43448,1-404
UniProtKB:O43451,1-1857
UniProtKB:O43462,1-519
UniProtKB:O43463,1-412
UniProtKB:O43474,1-513
UniProtKB:O43482,1-229
UniProtKB:O43488,1-359
UniProtKB:O43491,2-1005
UniProtKB:O43493,22-480
UniProtKB:O43493,22-480,XXX-null,MOD:00696
UniProtKB:O43497,1-2377
UniProtKB:O43502,1-376
UniProtKB:O43504,1-91
UniProtKB:O43505,1-415
UniProtKB:O43506,207-726
UniProtKB:O43508,1-249
UniProtKB:O43508,94-249
UniProtKB:O43511,1-780
UniProtKB:O43513,1-233
UniProtKB:O43516,1-503
UniProtKB:O43520,1-1251
UniProtKB:O43521,1-131,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:O43521,1-131,Ser-445/Ser-729,MOD:00046
UniProtKB:O43521,1-198,XXX-null,MOD:00696
UniProtKB:O43521,1-198
UniProtKB:O43521,1-198,Ser-65,MOD:00046
UniProtKB:O43524,1-673
UniProtKB:O43524,2-673,Ser-215,MOD:00046
UniProtKB:O43524,2-673,Ser-253/Ser-315,MOD:00046|Thr-32,MOD:00047
UniProtKB:O43524,2-673
UniProtKB:O43525,1-872
UniProtKB:O43526,1-872
UniProtKB:O43529,1-356
UniProtKB:O43541,1-496
UniProtKB:O43542,1-346
UniProtKB:O43543,1-280
UniProtKB:O43548,2-720
UniProtKB:O43555,24-33
UniProtKB:O43557,1-240
UniProtKB:O43559,2-492
UniProtKB:O43559,2-492,Tyr-191/Tyr-286/Tyr-321/Tyr-416/Tyr-454,MOD:00048
UniProtKB:O43561,1-262,Tyr-156/Tyr-161/Tyr-200/Tyr-220/Tyr-255,MOD:00048
UniProtKB:O43561,1-262,Tyr-200/Tyr-220,MOD:00048
UniProtKB:O43561,1-262
UniProtKB:O43561-2,1-262,Tyr-127/Tyr-132/Tyr-171/Tyr-191/Tyr-226,MOD:00048
UniProtKB:O43561-2,1-262
UniProtKB:O43566,1-566
UniProtKB:O43570,25-354
UniProtKB:O43572,29-662
UniProtKB:O43581,1-403
UniProtKB:O43586,1-416
UniProtKB:O43592,1-962
UniProtKB:O43597,1-315,Tyr-55/Tyr-227,MOD:00048
UniProtKB:O43597,1-315,Tyr-55,MOD:00048
UniProtKB:O43597,1-315
UniProtKB:O43597,1-315,Ser-112/Ser-115,MOD:00046
UniProtKB:O43597,1-315,Ser-111/Ser-120,MOD:00046
UniProtKB:O43597,1-315,Ser-112/Ser-121,MOD:00046
UniProtKB:O43598,2-174
UniProtKB:O43602,1-441
UniProtKB:O43603,1-387
UniProtKB:O43609,1-319,Tyr-53,MOD:00048
UniProtKB:O43609,1-319
UniProtKB:O43612,34-66
UniProtKB:O43612,70-97
UniProtKB:O43613,1-425
UniProtKB:O43614,1-444
UniProtKB:O43615,?-452
UniProtKB:O43617,1-180
UniProtKB:O43623,1-268
UniProtKB:O43633,1-222
UniProtKB:O43639,1-380
UniProtKB:O43653,21-95,XXX-95,MOD:00105
UniProtKB:O43660,1-514
UniProtKB:O43663,1-620
UniProtKB:O43665,1-173
UniProtKB:O43674,47-189
UniProtKB:O43676,2-98
UniProtKB:O43677,28-76
UniProtKB:O43678,2-99
UniProtKB:O43681,2-348
UniProtKB:O43683,1-1085
UniProtKB:O43684,1-328
UniProtKB:O43688,1-288
UniProtKB:O43699,27-453
UniProtKB:O43704,1-296
UniProtKB:O43707,1-911
UniProtKB:O43708,1-216
UniProtKB:O43709,1-281
UniProtKB:O43715,1-76
UniProtKB:O43731,1-214
UniProtKB:O43739,1-400
UniProtKB:O43741,1-272
UniProtKB:O43747,2-822
UniProtKB:O43749,1-312
UniProtKB:O43752,2-255
UniProtKB:O43759,1-233
UniProtKB:O43766,28-372
UniProtKB:O43768,2-121
UniProtKB:O43768,2-121,Ser-67,MOD:00046
UniProtKB:O43772,1-301
UniProtKB:O43776,1-548
UniProtKB:O43790,1-486
UniProtKB:O43791,1-374
UniProtKB:O43805,1-119
UniProtKB:O43808,1-307
UniProtKB:O43809,2-227
UniProtKB:O43818,1-475
UniProtKB:O43819,42-266
UniProtKB:O43820,21-417
UniProtKB:O43826,1-429
UniProtKB:O43837,35-385
UniProtKB:O43852,20-315
UniProtKB:O43852,20-315,XXX-null,MOD:00696
UniProtKB:O43861,1-1147
UniProtKB:O43865,2-530
UniProtKB:O43868,1-658
UniProtKB:O43869,1-369
UniProtKB:O43889,1-256
UniProtKB:O43889,1-291
UniProtKB:O43889,1-395
UniProtKB:O43889,257-291
UniProtKB:O43889,292-395
UniProtKB:O43895,22-649,XXX-649,MOD:00090
UniProtKB:O43896,1-1103
UniProtKB:O43897,148-1013
UniProtKB:O43903,1-279
UniProtKB:O43903,1-313
UniProtKB:O43903,280-313
UniProtKB:O43909,1-919
UniProtKB:O43913,1-435
UniProtKB:O43914,22-113
UniProtKB:O43914,22-113,Tyr-91/Tyr-102,MOD:00048
UniProtKB:O43915,89-205
UniProtKB:O43916,1-411
UniProtKB:O43920,2-106
UniProtKB:O43921,?-188
UniProtKB:O43921,25-?
UniProtKB:O43921,25-188
UniProtKB:O43924,1-150
UniProtKB:O43927,23-109
UniProtKB:O43929,1-436
UniProtKB:O60216,1-172
UniProtKB:O60216,1-631,Ser-454,MOD:00046
UniProtKB:O60216,1-631
UniProtKB:O60216,1-631,Lys-null,MOD:01149
UniProtKB:O60216,173-450
UniProtKB:O60216,451-631,Ser-454,MOD:00046
UniProtKB:O60218,1-316
UniProtKB:O60220,1-97
UniProtKB:O60220,1-97,Cys-43/Cys-47/Cys-62/Cys-66,MOD:00798
UniProtKB:O60229,1-2985
UniProtKB:O60229,1-2985,XXX-null,MOD:00696
UniProtKB:O60231,1-1041
UniProtKB:O60234,1-142
UniProtKB:O60237,1-982
UniProtKB:O60237-4,1-982
UniProtKB:O60238,1-219
UniProtKB:O60240,1-522
UniProtKB:O60240,1-522,Ser-81/Ser-277,MOD:00046
UniProtKB:O60243,1-411
UniProtKB:O60244,1-1454
UniProtKB:O60245,29-1069
UniProtKB:O60258-1,23-216
UniProtKB:O60259,29-32
UniProtKB:O60259,29-260
UniProtKB:O60259,33-260
UniProtKB:O60260,1-465
UniProtKB:O60260,1-465,Lys-null,MOD:01148
UniProtKB:O60262,2-65
UniProtKB:O60264,1-1052
UniProtKB:O60266,1-1144
UniProtKB:O60271,1-1321
UniProtKB:O60282,2-957
UniProtKB:O60285,1-661
UniProtKB:O60285,1-661,Thr-211,MOD:00047
UniProtKB:O60291,1-552
UniProtKB:O60294,1-686
UniProtKB:O60304,1-480
UniProtKB:O60306,1-1485
UniProtKB:O60312,1-1499
UniProtKB:O60313,88-194
UniProtKB:O60313,88-960
UniProtKB:O60313,195-960
UniProtKB:O60331,1-668
UniProtKB:O60333,2-1816
UniProtKB:O60337,1-910
UniProtKB:O60341,1-852
UniProtKB:O60343,1-1298,Ser-318/Ser-341/Ser-570/Ser-588/Ser-751,MOD:00046|Thr-642,MOD:00047
UniProtKB:O60343,1-1298
UniProtKB:O60344,1-883
UniProtKB:O60346,1-1717
UniProtKB:O60353,19-706,Lys-null,MOD:01148
UniProtKB:O60353,19-706
UniProtKB:O60359,1-315
UniProtKB:O60361,1-137
UniProtKB:O60403,1-315
UniProtKB:O60404,1-316
UniProtKB:O60412,1-319
UniProtKB:O60422,1-494
UniProtKB:O60423,1-1300
UniProtKB:O60427,1-501
UniProtKB:O60431,1-355
UniProtKB:O60437,1-1756
UniProtKB:O60462,21-931
UniProtKB:O60469,18-2012
UniProtKB:O60476,1-641
UniProtKB:O60481,1-467
UniProtKB:O60486,35-1568
UniProtKB:O60488,1-711
UniProtKB:O60493,2-162,Lys-null,MOD:01148
UniProtKB:O60493,2-162
UniProtKB:O60494,36-3623
UniProtKB:O60496,1-412
UniProtKB:O60499,2-249
UniProtKB:O60500,23-1241,Tyr-1158/Tyr-1176/Tyr-1193/Tyr-1217,MOD:00048
UniProtKB:O60500,23-1241
UniProtKB:O60500-1,23-1241
UniProtKB:O60503,1-1353
UniProtKB:O60504,1-671
UniProtKB:O60507,1-370
UniProtKB:O60508,1-579
UniProtKB:O60512,1-393
UniProtKB:O60513,1-344
UniProtKB:O60522,1-2096
UniProtKB:O60542,22-156
UniProtKB:O60543,1-219
UniProtKB:O60547,2-372
UniProtKB:O60551,1-498
UniProtKB:O60563,1-726
UniProtKB:O60566,1-1050
UniProtKB:O60568,25-738
UniProtKB:O60573,1-245
UniProtKB:O60583,1-730
UniProtKB:O60602,21-858
UniProtKB:O60603,19-784
UniProtKB:O60609,32-374
UniProtKB:O60610,1-1272
UniProtKB:O60641,1-907
UniProtKB:O60645,1-756
UniProtKB:O60656,26-530
UniProtKB:O60658,1-829
UniProtKB:O60662,1-606
UniProtKB:O60664,2-434
UniProtKB:O60669,1-478
UniProtKB:O60671,1-282
UniProtKB:O60673,1-3130
UniProtKB:O60674,1-1132,Tyr-813,MOD:00048
UniProtKB:O60674,1-1132,XXX-null,MOD:00696
UniProtKB:O60674,1-1132,Tyr-119/Tyr-221/Tyr-372/Tyr-373/Tyr-570/Tyr-637/Tyr-813/Tyr-868/Tyr-966/Tyr-972/Tyr-1007/Tyr-1008,MOD:00048
UniProtKB:O60674,1-1132
UniProtKB:O60674,1-1132,Tyr-1007,MOD:00048
UniProtKB:O60675,1-156
UniProtKB:O60678,2-531
UniProtKB:O60683,1-326
UniProtKB:O60701,1-494
UniProtKB:O60704,1-377
UniProtKB:O60706,1-1527
UniProtKB:O60706,1-1549
UniProtKB:O60716,1-968
UniProtKB:O60721,1-1099
UniProtKB:O60725,1-284
UniProtKB:O60729,1-498
UniProtKB:O60733,1-806
UniProtKB:O60741,1-890
UniProtKB:O60749,1-519
UniProtKB:O60755,1-368
UniProtKB:O60760,2-199
UniProtKB:O60762,2-154
UniProtKB:O60762,2-212
UniProtKB:O60762,2-260
UniProtKB:O60763,1-962
UniProtKB:O60765,1-605
UniProtKB:O60779,1-497
UniProtKB:O60783,1-128
UniProtKB:O60784,1-492
UniProtKB:O60814,2-126,Lys-13,MOD:00064
UniProtKB:O60814,2-126,Lys-121,MOD:01148
UniProtKB:O60814,2-126
UniProtKB:O60814,2-126,Lys-16,MOD:00064
UniProtKB:O60814,2-126,Lys-6,MOD:00064
UniProtKB:O60814,2-126,Lys-120,MOD:01148
UniProtKB:O60814,2-126,Lys-21,MOD:00064
UniProtKB:O60814,2-126,Lys-null,MOD:00064
UniProtKB:O60825,1-505
UniProtKB:O60826,1-627
UniProtKB:O60828,2-265
UniProtKB:O60830,1-172
UniProtKB:O60832,2-514
UniProtKB:O60840,1-1977
UniProtKB:O60841,1-1220
UniProtKB:O60858,1-407
UniProtKB:O60870,1-393,Lys-135,MOD:00083
UniProtKB:O60870,1-393
UniProtKB:O60879-2,1-1096
UniProtKB:O60879-2,1-1096,Ser-196,MOD:00046
UniProtKB:O60879-3,1-1097
UniProtKB:O60880,1-128
UniProtKB:O60882,108-483
UniProtKB:O60883,26-481
UniProtKB:O60884,1-409
UniProtKB:O60890,1-802
UniProtKB:O60894,27-148
UniProtKB:O60895,43-175
UniProtKB:O60896,24-148
UniProtKB:O60906,1-423
UniProtKB:O60907,1-577
UniProtKB:O60909,1-372
UniProtKB:O60911,114-334
UniProtKB:O60921,1-280
UniProtKB:O60925,2-122
UniProtKB:O60931,1-367
UniProtKB:O60934,1-754,Ser-343,MOD:00046
UniProtKB:O60934,1-754
UniProtKB:O60938,21-352,XXX-null,MOD:00831
UniProtKB:O60939,30-215
UniProtKB:O60942,1-597
UniProtKB:O75015,17-200,XXX-200,MOD:00105
UniProtKB:O75015,17-200
UniProtKB:O75019,17-489
UniProtKB:O75022,24-631
UniProtKB:O75023,24-590
UniProtKB:O75027,23-752
UniProtKB:O75030,1-526
UniProtKB:O75030,1-526,Lys-289/Lys-423,MOD:01149
UniProtKB:O75037,1-1637
UniProtKB:O75038,1-1416
UniProtKB:O75044,1-1071
UniProtKB:O75051,35-1894,Tyr-null,MOD:00048
UniProtKB:O75051,35-1894
UniProtKB:O75056,1-442,XXX-null,MOD:00814
UniProtKB:O75056,1-442
UniProtKB:O75061,1-913
UniProtKB:O75064,1-1496
UniProtKB:O75077,287-832
UniProtKB:O75078,226-769
UniProtKB:O75083,2-606
UniProtKB:O75084,33-574
UniProtKB:O75093,34-1534
UniProtKB:O75094,34-1523
UniProtKB:O75096,21-1905
UniProtKB:O75106,33-756
UniProtKB:O75110,1-1047
UniProtKB:O75116,1-1388
UniProtKB:O75122,1-1294
UniProtKB:O75131,1-537
UniProtKB:O75143,1-517,XXX-null,MOD:00696
UniProtKB:O75143,1-517
UniProtKB:O75144,19-302
UniProtKB:O75145,1-1194
UniProtKB:O75146,1-1068
UniProtKB:O75147,1-1896
UniProtKB:O75150,1-1001
UniProtKB:O75151,1-1096
UniProtKB:O75152,1-810
UniProtKB:O75154,1-756
UniProtKB:O75159,1-536
UniProtKB:O75161,1-1426
UniProtKB:O75164,1-1064,Lys-null,MOD:01148
UniProtKB:O75164,1-1064
UniProtKB:O75165,1-2243
UniProtKB:O75167,1-634
UniProtKB:O75173,213-837
UniProtKB:O75173,213-837,XXX-null,MOD:00812
UniProtKB:O75175,1-753
UniProtKB:O75182,1-1162
UniProtKB:O75182-1,1-1162
UniProtKB:O75185,1-946
UniProtKB:O75190,2-326
UniProtKB:O75191,1-536
UniProtKB:O75192,1-247
UniProtKB:O75197,32-1615,Ser-null,MOD:00046|Thr-null,MOD:00047
UniProtKB:O75197,32-1615
UniProtKB:O75208,45-318
UniProtKB:O75223,1-188
UniProtKB:O75251,39-213
UniProtKB:O75306,34-463
UniProtKB:O75310,22-529
UniProtKB:O75311,34-464
UniProtKB:O75317,1-370
UniProtKB:O75326,45-648
UniProtKB:O75330,1-724
UniProtKB:O75334,1-1257
UniProtKB:O75335,1-701
UniProtKB:O75339,22-1184,XXX-null,MOD:00812
UniProtKB:O75342,1-701
UniProtKB:O75343,1-617
UniProtKB:O75344,1-327
UniProtKB:O75346,1-499
UniProtKB:O75347,2-108
UniProtKB:O75348,2-118
UniProtKB:O75351,1-444
UniProtKB:O75352,2-247
UniProtKB:O75354,77-484
UniProtKB:O75355,1-529
UniProtKB:O75356,25-428
UniProtKB:O75369,1-2602
UniProtKB:O75373,1-536
UniProtKB:O75376,1-2440
UniProtKB:O75379,1-141
UniProtKB:O75380,29-124
UniProtKB:O75382,2-744
UniProtKB:O75385,1-1050,Ser-317/Ser-467/Ser-556/Ser-638,MOD:00046|Thr-575,MOD:00047
UniProtKB:O75385,1-1050
UniProtKB:O75385,1-1050,Ser-758,MOD:00046
UniProtKB:O75385,1-1050,Ser-317/Ser-467/Ser-556/Ser-638,MOD:00046|Thr-180/Thr-575,MOD:00047
UniProtKB:O75386,1-442
UniProtKB:O75387,1-559
UniProtKB:O75388,1-356
UniProtKB:O75390,1-466
UniProtKB:O75390,28-466
UniProtKB:O75394,1-65
UniProtKB:O75396,2-215
UniProtKB:O75400,1-957
UniProtKB:O75414,1-186
UniProtKB:O75417,1-2590
UniProtKB:O75419,1-566
UniProtKB:O75431,1-263
UniProtKB:O75436,1-327
UniProtKB:O75437,1-659
UniProtKB:O75438,1-58
UniProtKB:O75439,46-489
UniProtKB:O75443,23-2091,Asn-2091,MOD:00092
UniProtKB:O75444,1-373
UniProtKB:O75446,1-220
UniProtKB:O75448,1-989
UniProtKB:O75452,1-317
UniProtKB:O75460,19-977
UniProtKB:O75460,19-977,Ser-724,MOD:00046
UniProtKB:O75461,1-281,Ser-12,MOD:00046
UniProtKB:O75461,1-281
UniProtKB:O75462,38-422
UniProtKB:O75467,1-553
UniProtKB:O75469-1,1-434
UniProtKB:O75469-2,1-434
UniProtKB:O75469-3,1-434
UniProtKB:O75469-4,1-434
UniProtKB:O75469-5,1-434
UniProtKB:O75469-6,1-434
UniProtKB:O75469-7,1-434
UniProtKB:O75473,22-907
UniProtKB:O75474,1-233
UniProtKB:O75475,1-530
UniProtKB:O75477,1-346
UniProtKB:O75478,1-443
UniProtKB:O75486,1-399
UniProtKB:O75487,19-529,XXX-null,MOD:00814
UniProtKB:O75487,19-529
UniProtKB:O75489,37-264
UniProtKB:O75494,1-262
UniProtKB:O75496,1-209
UniProtKB:O75506,1-76
UniProtKB:O75508,1-207
UniProtKB:O75509,42-655
UniProtKB:O75521-2,39-394
UniProtKB:O75525,1-346
UniProtKB:O75525,1-346,Tyr-null,MOD:00048
UniProtKB:O75528,1-432
UniProtKB:O75529,1-589
UniProtKB:O75530,1-441
UniProtKB:O75531,1-89,Ser-4,MOD:00046|Thr-2/Thr-3,MOD:00047
UniProtKB:O75531,1-89
UniProtKB:O75533,1-1304
UniProtKB:O75553,1-588
UniProtKB:O75553,1-588,Tyr-198/Tyr-220/Tyr-232,MOD:00048
UniProtKB:O75554,1-376
UniProtKB:O75563,1-359
UniProtKB:O75569,1-313
UniProtKB:O75575,1-148
UniProtKB:O75578,23-1167
UniProtKB:O75581,20-1368
UniProtKB:O75581,20-1613,Ser-null/Ser-1490,MOD:00046|Thr-null/Thr-1479/Thr-1493,MOD:00047
UniProtKB:O75581,20-1613,Ser-1490,MOD:00046
UniProtKB:O75581,20-1613
UniProtKB:O75581,20-1613,Ser-null/Ser-1490,MOD:00046|Thr-null,MOD:00047
UniProtKB:O75581,20-1613,Ser-1490,MOD:00046|Thr-1479/Thr-1493,MOD:00047
UniProtKB:O75582,1-802
UniProtKB:O75582,1-802,Ser-212/Ser-360/Ser-376,MOD:00046|Thr-581,MOD:00047
UniProtKB:O75586,1-246
UniProtKB:O75593,1-365
UniProtKB:O75594,22-196
UniProtKB:O75600,22-419
UniProtKB:O75604,1-605
UniProtKB:O75608,1-230
UniProtKB:O75610,77-366
UniProtKB:O75616,44-437
UniProtKB:O75626,1-825
UniProtKB:O75629,32-220
UniProtKB:O75636,24-299
UniProtKB:O75643,1-2136
UniProtKB:O75648,1-421
UniProtKB:O75665,1-1012
UniProtKB:O75676,1-772
UniProtKB:O75688,1-479
UniProtKB:O75690,1-187
UniProtKB:O75691,1-2785
UniProtKB:O75694,1-1391
UniProtKB:O75695,1-350
UniProtKB:O75712,1-270
UniProtKB:O75715,22-221
UniProtKB:O75718,27-401
UniProtKB:O75746,1-678
UniProtKB:O75747,1-1445
UniProtKB:O75751,1-556
UniProtKB:O75752,1-331
UniProtKB:O75762,1-1119
UniProtKB:O75771,1-328
UniProtKB:O75787,17-350
UniProtKB:O75791,1-330
UniProtKB:O75795,24-530
UniProtKB:O75807,1-674
UniProtKB:O75808,1-1086
UniProtKB:O75817,1-140
UniProtKB:O75818,1-363
UniProtKB:O75820,1-626
UniProtKB:O75821,2-320
UniProtKB:O75822,2-258
UniProtKB:O75828,2-277
UniProtKB:O75832,1-226
UniProtKB:O75843,1-785
UniProtKB:O75845,1-299
UniProtKB:O75865,1-159
UniProtKB:O75874,1-414
UniProtKB:O75880,?-301
UniProtKB:O75881,1-506
UniProtKB:O75886,1-525
UniProtKB:O75886,1-525,Lys-null,MOD:01148
UniProtKB:O75888,105-250
UniProtKB:O75888,105-250,Thr-244,MOD:00047
UniProtKB:O75891,1-902,XXX-354,MOD:00159
UniProtKB:O75897,1-302
UniProtKB:O75899,42-941
UniProtKB:O75907,1-488
UniProtKB:O75908,1-522
UniProtKB:O75909,1-580
UniProtKB:O75911,1-302
UniProtKB:O75912,1-1065
UniProtKB:O75914,1-559
UniProtKB:O75914,1-559,Ser-154,MOD:00046|Thr-436,MOD:00047
UniProtKB:O75915,1-188
UniProtKB:O75916,1-674
UniProtKB:O75916-3,1-484,Ser-478,MOD:00046
UniProtKB:O75916-3,1-484
UniProtKB:O75923,1-2080
UniProtKB:O75925,1-651
UniProtKB:O75928,1-621
UniProtKB:O75928-1,1-621
UniProtKB:O75928-2,1-621
UniProtKB:O75934,2-225
UniProtKB:O75935,?-186
UniProtKB:O75936,1-387
UniProtKB:O75937,2-253
UniProtKB:O75940,1-238
UniProtKB:O75943,1-681
UniProtKB:O75947,2-161
UniProtKB:O75955,1-427
UniProtKB:O75962,1-3097
UniProtKB:O75964,2-103
UniProtKB:O75971,1-98
UniProtKB:O75976,32-1380
UniProtKB:O76000,1-313
UniProtKB:O76001,1-311
UniProtKB:O76002,1-312
UniProtKB:O76003,2-335
UniProtKB:O76009,1-404
UniProtKB:O76011,1-436
UniProtKB:O76013,1-467
UniProtKB:O76014,1-449
UniProtKB:O76015,1-456
UniProtKB:O76024,1-890,XXX-null,MOD:00696
UniProtKB:O76024,1-890
UniProtKB:O76036,22-304
UniProtKB:O76050,2-574
UniProtKB:O76061,25-302,XXX-null,MOD:00696
UniProtKB:O76061,25-302
UniProtKB:O76062,1-418
UniProtKB:O76064,1-485
UniProtKB:O76071,1-339
UniProtKB:O76074,1-875
UniProtKB:O76075,1-338
UniProtKB:O76081,1-388
UniProtKB:O76082,1-557
UniProtKB:O76083,1-593
UniProtKB:O76090,1-585
UniProtKB:O76093,28-207
UniProtKB:O76094,2-671
UniProtKB:O76099,1-320
UniProtKB:O76100,1-309
UniProtKB:O94759,1-1503
UniProtKB:O94760,2-285
UniProtKB:O94766,1-335
UniProtKB:O94772,26-115,XXX-115,MOD:00097
UniProtKB:O94776,1-668
UniProtKB:O94777,2-84
UniProtKB:O94778,1-261
UniProtKB:O94779,19-1072,XXX-1072,MOD:00105
UniProtKB:O94782,1-671
UniProtKB:O94782,1-785
UniProtKB:O94782,672-785
UniProtKB:O94788,1-518
UniProtKB:O94804,1-968
UniProtKB:O94805,1-426
UniProtKB:O94806,1-890
UniProtKB:O94808,2-682
UniProtKB:O94810,1-467
UniProtKB:O94813,31-1121
UniProtKB:O94813,31-1529
UniProtKB:O94813,1122-1529
UniProtKB:O94817,1-140
UniProtKB:O94822,1-1766
UniProtKB:O94823,1-1461
UniProtKB:O94826,2-608,Lys-null,MOD:01148
UniProtKB:O94826,2-608
UniProtKB:O94827,1-1062
UniProtKB:O94830,1-711
UniProtKB:O94844,1-696
